path[directory:/ifs/],dir_cnt (count),file_cnt (count),ads_cnt,other_cnt (count),phys_size_sum (bytes),log_size_sum_overflow,report_date: 1667145600
/ifs/MXFSERVER,712122,5545252,569753,6499,1464556350430720,0,
/ifs/.ifsvar,385433,176685,0,5,5488477560320,0,
/ifs/TX_Copy,3,4,2,0,84986968576,0,
/ifs/XML_MXF,2,56226,3,0,10170734080,0,
/ifs/Dalet,9,12,12,0,546551296,0,
/ifs/AsperaData,6,10,8,0,40408576,0,
/ifs/home,26,181,0,0,6426112,0,
/ifs/.TemporaryItems,3,0,4,0,79360,0,
/ifs/IMS,1,0,0,0,1536,0,
